Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
0.0028784,1.92e-06,1.6345549194837397e-06,2.854450805162601e-07,1.8830975167197371e-06
0.0028786,1.92e-06,1.6352141193310562e-06,2.8478588066894367e-07,1.945669938118106e-06
0.0028788,2.04e-06,1.6358733191783726e-06,4.0412668082162734e-07,2.0025846550769606e-06
0.002879,2.04e-06,1.6365325190256908e-06,4.034674809743092e-07,2.0528580918704525e-06
0.0028792,2.16e-06,1.637191718873009e-06,5.228082811269912e-07,2.095622789412365e-06
0.0028794,2.16e-06,1.6378509187203254e-06,5.221490812796747e-07,2.1301425719837298e-06
0.0028796,2.22e-06,1.6385101185676418e-06,5.814898814323581e-07,2.1558254185850036e-06
0.0028798,2.22e-06,1.63916931841496e-06,5.8083068158504e-07,2.1722338138761754e-06
0.00288,2.16e-06,1.639828518262278e-06,5.20171481737722e-07,2.179092397728191e-06
0.0028802,2.16e-06,1.6404877181095946e-06,5.195122818904055e-07,2.1762927796394506e-06
0.0028804,2.16e-06,1.641146917956911e-06,5.188530820430891e-07,2.1638954338461537e-06
0.0028806,2.04e-06,1.6418061178042291e-06,3.981938821957708e-07,2.142128641983881e-06
0.0028808,2.04e-06,1.6424653176515473e-06,3.9753468234845266e-07,2.111384501794595e-06
0.002881,1.98e-06,1.6431245174988637e-06,3.3687548250113635e-07,2.072212071660101e-06
0.0028812,1.86e-06,1.6437837173461819e-06,2.162162826538181e-07,2.025307770823613e-06
0.0028814,1.92e-06,1.6444429171934983e-06,2.755570828065015e-07,1.971503203142809e-06
0.0028816,1.74e-06,1.6451021170408148e-06,9.489788295918527e-08,1.911750617257917e-06
0.0028818,1.68e-06,1.645761316888133e-06,3.423868311186707e-08,1.8471062574313073e-06
0.002882,1.62e-06,1.646420516735451e-06,-2.642051673545114e-08,1.778711896052797e-06
0.0028822,1.5e-06,1.6470797165827675e-06,-1.470797165827675e-07,1.7077748708304272e-06
0.0028824,1.56e-06,1.647738916430084e-06,-8.773891643008389e-08,1.6355469755999654e-06
0.0028826,1.5e-06,1.6483981162774021e-06,-1.483981162774021e-07,1.5633025738664222e-06
0.0028828,1.38e-06,1.6490573161247203e-06,-2.6905731612472037e-07,1.492316317735759e-06
0.002883,1.38e-06,1.6497165159720367e-06,-2.697165159720368e-07,1.4238408618006781e-06
0.0028832,1.38e-06,1.6503757158193532e-06,-2.7037571581935327e-07,1.3590849616256628e-06
0.0028834,1.26e-06,1.6510349156666713e-06,-3.9103491566667133e-07,1.2991923398011566e-06
0.0028836,1.2e-06,1.6516941155139895e-06,-4.5169411551398953e-07,1.2452216889678402e-06
0.0028838,1.26e-06,1.652353315361306e-06,-3.923533153613059e-07,1.1981281615833207e-06
0.002884,1.2e-06,1.6530125152086224e-06,-4.5301251520862244e-07,1.1587466699566166e-06
0.0028842,1.14e-06,1.6536717150559405e-06,-5.136717150559404e-07,1.1277772885779444e-06
0.0028844,9.6e-07,1.6543309149032587e-06,-6.943309149032588e-07,1.1057730139631687e-06
0.0028846,1.02e-06,1.6549901147505768e-06,-6.349901147505768e-07,1.0931300960207316e-06
0.0028848,1.02e-06,1.6556493145978916e-06,-6.356493145978916e-07,1.090081109988284e-06
