Phi_ext,I_s_measured,I_s_josephson_fit,residuals
0.0029168,2.34e-06,1.1839192236121955e-05,-9.499192236121956e-06
0.002917,2.4e-06,1.1790975728635542e-05,-9.390975728635543e-06
0.0029172,2.34e-06,1.1736848793649899e-05,-9.3968487936499e-06
0.0029174,2.34e-06,1.167768442607963e-05,-9.337684426079631e-06
0.0029176,2.34e-06,1.1614336450760648e-05,-9.274336450760648e-06
0.0029178,2.34e-06,1.1547641079608264e-05,-9.207641079608265e-06
0.002918,2.34e-06,1.147841955224077e-05,-9.138419552240771e-06
0.0029182,2.4e-06,1.1407481394445046e-05,-9.007481394445045e-06
0.0029184,2.4e-06,1.1335628005342691e-05,-8.93562800534269e-06
0.0029186,2.34e-06,1.1263656404384242e-05,-8.923656404384243e-06
0.0029188,2.28e-06,1.1192363043139598e-05,-8.912363043139598e-06
0.002919,2.16e-06,1.112254762459854e-05,-8.96254762459854e-06
0.0029192,2.22e-06,1.1055016876877335e-05,-8.835016876877336e-06
0.0029194,2.1e-06,1.0990588201452727e-05,-8.890588201452727e-06
0.0029196,2.04e-06,1.0930093052934975e-05,-8.890093052934974e-06
0.0029198,2.04e-06,1.0874379802671233e-05,-8.834379802671234e-06
0.00292,1.86e-06,1.0824315679415413e-05,-8.964315679415413e-06
0.0029202,1.8e-06,1.0780787155549364e-05,-8.980787155549364e-06
0.0029204,1.74e-06,1.0744697842351434e-05,-9.004697842351434e-06
0.0029206,1.86e-06,1.0716962567886607e-05,-8.856962567886608e-06
0.0029208,1.68e-06,1.0698495846270903e-05,-9.018495846270904e-06
0.002921,1.62e-06,1.0690192457078216e-05,-9.070192457078216e-06
0.0029212,1.56e-06,1.0692897450767284e-05,-9.132897450767284e-06
0.0029214,1.5e-06,1.0707362793208235e-05,-9.207362793208234e-06
0.0029216,1.44e-06,1.0734188395794781e-05,-9.294188395794781e-06
0.0029218,1.38e-06,1.0773746895089982e-05,-9.393746895089982e-06
0.002922,1.44e-06,1.0826094698277532e-05,-9.386094698277533e-06
